ID,old_ID,experiment_version,gram_ACC_mean,gram_RT_median,pragm_ACC_mean,pragm_RT_median
2360,2360,adult_trog,0.941176471,4.58033,0.777777778,6.7938275
2361,2361,adult_trog,1,3.7501,0.5,9.39706
2362,2362,adult_trog,0.941176471,4.11387,0.666666667,3.903965
2363,2363,adult_trog,1,4.970485,0.944444444,7.8056225
2364,2364,adult_trog,0.941176471,4.8548,0.888888889,9.05845
2365,2365,adult_trog,1,4.248095,0.833333333,5.164145
2366,2366,adult_trog,1,4.861,0.777777778,6.032
2367,2367,adult_trog,0.941176471,3.72344,0.611111111,8.48188
2368,2368,adult_trog,1,4.57374,0.888888889,7.21147
2369,2369,adult_trog,0.941176471,4.429505,0.722222222,5.3379025
2370,2370,adult_trog,0.823529412,3.990125,0.777777778,4.565645
2372,2372,adult_trog,1,4.22737,1,7.45146
2373,2373,adult_trog,0.882352941,3.85764,0.777777778,5.46077
2374,2374,adult_trog,0.823529412,4.58147,0.833333333,9.1924025
2375,2375,adult_trog,0.882352941,6.191145,0.833333333,7.4614425
2376,2376,adult_trog,0.941176471,4.39209,0.888888889,6.969625
